X,Y,INTERSECTIONID,ROUTEID,MEASURE,INTERSECTIONNAME,GRADE,INTERSECTIONKEY,ACISA,SE_ANNO_CAD_DATA,OBJECTID
-8577526.79071647,4707237.19086817,11002502_11064222,11002502,212.91900635,25TH ST NW & NEW HAMPSHIRE AVE NW,13,c7b5bacb56dccd965cad5254ba1b5100,1187a,,4373175
-8575244.55811994,4712663.6944422,11001402_11081832,11081832,690.7880249,SPRING RD NW & 14TH ST NW,13,b65e64d79d058905a412a01497125dc7,5071,,4373189
-8574898.93372156,4708585.28047894,11001302_11065842_36000032_36001452,36000032,0,Ramp-36000032 & 13TH ST NW & Ramp-36001452 & O ST NW,13,3f67b6ae097aab5fd561e0fd78bcf644,2247,,4373196
-8570584.55423008,4709131.27991647,12062462_36005422,12062462,118.13300323,MOUNT OLIVET RD NE & Ramp-36005422,13,158563882ccef9690324d10e86bc679d,3176,,4373199
-8577182.09476152,4706975.21556567,11002302_11034382_21089893,21089893,152.19799805,VIRGINIA AVE NW Service Rd & 23RD ST NW & F ST NW,13,863f23d276c68eda14221d12f4a71d9f,1165,,4373200
-8575167.45408975,4710604.13482273,11001402_11024112,11024112,431.38800049,CLIFTON ST NW & 14TH ST NW,13,a4b57f457231043a2a4fceb0a6596f56,5054,,4373203
-8572984.45372313,4707195.10104045,11059602_11064282_36003502,11064282,781.39099121,NEW JERSEY AVE NW & MASSACHUSETTS AVE NW & Ramp-36003502,13,dd37d8bf07cce271b104338f2a4d5c4c,2009,,4373205
-8568679.72559839,4700363.37262806,13002302_13009362,13009362,2485.55004883,ALABAMA AVE SE & 23RD ST SE,13,3e5051c57aca488d1e68d01660dfa1f6,4088a,,4373250
-8574040.48007234,4708584.7158219,11000702_11065842,11065842,1103.88098145,O ST NW & 7TH ST NW,13,9e88e2933a8113908bbc9be90dae5c80,3022,,4373252
-8570514.23493403,4713491.75713096,12001202_12089112,12001202,3746.72094727,12TH ST NE & VARNUM ST NE,13,66e398cc4b40cd851adea3366307a257,3101,,4373254
-8575995.04537428,4707118.58580522,11001702_11038612,11001702,937.24298096,17TH ST NW & G ST NW,13,0af5b4543da21f114e218c024988252e,1062,,4373256
